filename,filepath,song_name,artist_name,title,artist,album,id3_genre,subgenre,label,duration_s
01 Birthday Bash.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Birthday Bash.mp3,"Birthday Bash (From ""Dilliwaali Zaalim Girlfriend""",Yo Yo Honey Singh,"Birthday Bash (From ""Dilliwaali Zaalim Girlfriend"")",Yo Yo Honey Singh & Alfaaz,"Birthday Bash (From ""Dilliwaali Zaalim Girlfriend"") - Single",Bollywood,hindi_hiphop,bollywood,252.1
01 Bol Do Na Zara - Azhar - Armaan Malik - 190kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Bol Do Na Zara - Azhar - Armaan Malik - 190kbps.mp3,Bol Do Na Zara,Armaan Malik,Bol Do Na Zara - PagalWorld.com,"Armaan Malik , Amaal Mallik - PagalWorld.com",Azhar (2016) PagalWorld.com,Bollywood,bollywood_pop,bollywood,293.6
01 Chogada - Loveratri.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Chogada - Loveratri.mp3,Chogada,Darshan Raval,Chogada - Pagalworld.org,"Darshan Raval, Asees Kaur - Pagalworld.org",Loveratri - Pagalworld.org,Bollywood,gujarati/garba,bollywood,249.9
01 Golmaal Again - Title Song 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Golmaal Again - Title Song 190Kbps.mp3,Golmaal Again - Title Song (PagalWorld.La,Brijesh Shandilya,Golmaal Again - Title Song (PagalWorld.La),"Brijesh Shandilya, Aditi Singh Sharma (PagalWorld.La)",Golmaal Again (PagalWorld.La),Bollywood,bollywood_pop,bollywood,264.2
01 Jiyo Re Bahubali - Bahubali 2 - 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Jiyo Re Bahubali - Bahubali 2 - 190Kbps.mp3,Jiyo Re Bahubali,Daler Mehndi,Jiyo Re Bahubali - PagalWorld.cool,"Daler Mehndi, Sanjeev Chimmalgi, Ramya Behara",Bahubali 2 - PagalWorld.com,Bollywood,devotional/folk,bollywood,209.1
01 Journey Song.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Journey Song.mp3,Journey Song,Anupam Roy,Journey Song - PagalWorld.com,"Anupam Roy , Shreya Ghoshal  [PagalWorld.com]",Piku - [PagalWorld.com],Bollywood,bollywood_pop,bollywood,258.6
01 Kabhi Jo Badal Barse (Unplugged) 192kbps [Songspkmp3.me].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Kabhi Jo Badal Barse (Unplugged) 192kbps [Songspkmp3.me].mp3,Kabhi Jo Badal Barse (Unplugged) [Songspkmp3.me,Arijit Singh,Kabhi Jo Badal Barse (Unplugged) [Songspkmp3.me],Arijit Singh & Samira Koppikar,Kabhi Jo Badal Barse (Unplugged) - Single [Songspkmp3.me],Indian Pop,bollywood_pop,bollywood,195.5
01 Main Hoon - Munna Michael 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Main Hoon - Munna Michael 190Kbps.mp3,Main Hoon (PagalWorld.cool,Tanishk Baagchi,Main Hoon (PagalWorld.cool),"Tanishk Baagchi , Siddharth Mahadevan (PagalWorld.cool)",Munna Michael (PagalWorld.cool),Soundtrack,bollywood_pop,bollywood,232.8
01 Ok Jaanu - Title Song (AR Rehman) 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Ok Jaanu - Title Song (AR Rehman) 190Kbps.mp3,Ok Jaanu Title Track,A. R. Rahman,Ok Jaanu Title Track - PagalWorld.com,"A. R. Rahman , Srinidhi Venkatesh - PagalWorld.com",Ok Jaanu (2017) - PagalWorld.com,Bollywood,bollywood_pop,bollywood,206.3
01 Salamat - Sarbjit (Arijit Singh) 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Salamat - Sarbjit (Arijit Singh) 190Kbps.mp3,Salamat,Tulsi Kumar,Salamat - PagalWorld.com,"Tulsi Kumar, Arijit Singh , Amaal Mallik (PagalWorld.com)",Sarbjit (2016) PagalWorld.com,Bollywood,bollywood_pop,bollywood,270.3
01 Sau Tarah Ke - Dishoom (Pritam) 320Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Sau Tarah Ke - Dishoom (Pritam) 320Kbps.mp3,Sau Tarah Ke,Amit Mishra,Sau Tarah Ke - PagalWorld.info,"Amit Mishra , Jonita Gandhi , Pritam - PagalWorld.info",Dishoom (2016) PagalWorld.info,Bollywood,bollywood_pop,bollywood,238.7
01 Suit Suit - Hindi Medium (Guru n Arjun) 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Suit Suit - Hindi Medium (Guru n Arjun) 190Kbps.mp3,Suit Suit (PagalWorld.cool,Guru Randhawa,Suit Suit (PagalWorld.cool),"Guru Randhawa, Arjun , Rajat Nagpal , Intense",Hindi Medium (PagalWorld.cool),Bollywood,punjabi_pop,bollywood,190.2
01. Piddly.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01. Piddly.mp3,Piddly,Amitabh Bachchan,Piddly - PagalWorld.com,Amitabh Bachchan - PagalWorld.com,Amitabh Bachchan,Bollywood,bollywood_pop,bollywood,318.2
01_-_Kar_Gayi_Chull_-_DownloadMing.SE[1].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01_-_Kar_Gayi_Chull_-_DownloadMing.SE[1].mp3,Kar Gayi Chull,Badshah,Kar Gayi Chull -  DownloadMing.SE,"Badshah, Fazilpuria, Sukriti Kakar & Neha Kakkar",Kapoor and Sons (2016),DownloadMing.SE,hindi_hiphop,bollywood,187.7
01_20badri_20ki_20dulhania_20-_20title_20track_20_28neha_20kakkar_29_20190kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01_20badri_20ki_20dulhania_20-_20title_20track_20_28neha_20kakkar_29_20190kbps.mp3,Badri Ki Dulhania (PagalWorld.me,Dev Negi,Badri Ki Dulhania (PagalWorld.me),"Dev Negi, Neha Kakkar, Monali Thakur, Ikka , Tanishk Bagchi",Badrinath Ki Dulhania (PagalWorld.me),Bollywood,bollywood_pop,bollywood,206.9
01_20bulleya_20_28reprise_29_20arijit_20singh_20-_20190kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01_20bulleya_20_28reprise_29_20arijit_20singh_20-_20190kbps.mp3,Bulleya (Reprise,Pritam,Bulleya (Reprise) - PagalWorld.com,"Pritam, Amit Mishra , Shilpa Rao - PagalWorld.com",Ae Dil Hai Mushkil [Deluxe Edition] - PagalWorld.com,Bollywood,bollywood_pop,bollywood,348.9
02 - Bin Tere-(MyMp3Singer.com).mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Bin Tere-(MyMp3Singer.com).mp3,Bin Tere-(MyMp3Singer.com,Sunidhi Chauhan,02 - Bin Tere-(MyMp3Singer.com),"Sunidhi Chauhan, Shafqat Amanat Ali",I Hate LUV Storys - MyMp3Singer.com,Club,bollywood_pop,bollywood,330.6
02 - Dil Diyan Gallan - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Dil Diyan Gallan - DownloadMing.SE.mp3,Dil Diyan Gallan,Atif Aslam,Dil Diyan Gallan -  DownloadMing.SE,Atif Aslam,Tiger Zinda Hai (2017),DownloadMing.SE,bollywood_pop,bollywood,260.6
02 - Dilwale - Manma Emotion Jaage [DJMaza.Info].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Dilwale - Manma Emotion Jaage [DJMaza.Info].mp3,Manma Emotion Jaage,Amit Mishra,Manma Emotion Jaage - DJMaza.Info,"Amit Mishra, Anushka Manchanda & Antara Mitra",Dilwale (2015),Bollywood Music,bollywood_pop,bollywood,209.4
02 - Haareya - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Haareya - DownloadMing.SE.mp3,Haareya,Arijit Singh,Haareya -  DownloadMing.SE,Arijit Singh,Meri Pyaari Bindu (2017),DownloadMing.SE,bollywood_pop,bollywood,214.9
02 - Jag Ghoomeya - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Jag Ghoomeya - DownloadMing.SE.mp3,Jag Ghoomeya,Rahat Fateh Ali Khan,Jag Ghoomeya -  DownloadMing.io,Rahat Fateh Ali Khan,Sultan (2016),DownloadMing.io,sufi/qawwali,bollywood,282.0
02 - Kaun Tujhe - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Kaun Tujhe - DownloadMing.SE.mp3,Kaun Tujhe,Palak Muchhal,Kaun Tujhe -  DownloadMing.SE,Palak Muchhal,M.S. Dhoni (2016),DownloadMing.SE,bollywood_pop,bollywood,241.5
02 - Nanga Punga Dost.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Nanga Punga Dost.mp3,Nanga Punga Dost,Shreya Ghoshal,Nanga Punga Dost - DJMaza.Info,Shreya Ghoshal,PK (2014),Bollywood Music,bollywood_pop,bollywood,286.7
02 - Raabta (Title Track) - Raabta [DJMaza.Life].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Raabta (Title Track) - Raabta [DJMaza.Life].mp3,Raabta (Title Track,Arijit Singh,Raabta (Title Track) - DJMaza.Life,"Arijit Singh, Nikhita Gandhi",Raabta,Bollywood Music,bollywood_pop,bollywood,297.2
02 - Sau Aasmaan - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Sau Aasmaan - DownloadMing.SE.mp3,Sau Aasmaan,Armaan Malik,Sau Aasmaan -  DownloadMing.SE,Armaan Malik & Neeti Mohan,Baar Baar Dekho (2016),DownloadMing.SE,bollywood_pop,bollywood,234.9
02 - Tamma Tamma Again - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Tamma Tamma Again - DownloadMing.SE.mp3,Tamma Tamma Again,Bappi Lahiri,Tamma Tamma Again -  DownloadMing.SE,"Bappi Lahiri, Anuradha Paudwal Badshah , Tanishk Bagchi",Badrinath Ki Dulhania (2017),DownloadMing.SE,hindi_hiphop,bollywood,199.3
02 - Tareefan - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - Tareefan - DownloadMing.SE.mp3,Tareefan,Badshah,Tareefan -  DownloadMing.SE,Badshah,Veere Di Wedding (2018),DownloadMing.SE,hindi_hiphop,bollywood,186.2
02 - ZNMD - Ik Junoon (Paint It Red) [www.DJMaza.Com].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 - ZNMD - Ik Junoon (Paint It Red) [www.DJMaza.Com].mp3,Ik Junoon (Paint It Red,Vishal Dadlani,Ik Junoon (Paint It Red) - www.DJMaza.Com,"Vishal Dadlani, Shankar Mahadevan, Ehsaan, Gulraj Singh & Alyssa Mendonsa",Zindagi Na Milegi Dobara (2011),Bollywood Music,bollywood_pop,bollywood,300.7
02 Baat Ban Jaye - A Gentleman 320Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 Baat Ban Jaye - A Gentleman 320Kbps.mp3,Baat Ban Jaye,Siddharth Basrur,Baat Ban Jaye - PagalWorld.com,"Siddharth Basrur, Priya Saraiya - PagalWorld.com",A Gentleman - PagalWorld.com,Bollywood,bollywood_pop,bollywood,192.2
02 Bekhudi.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 Bekhudi.mp3,Bekhudi,Darshan Raval,Bekhudi - SongsMp3.com,"Darshan Raval , Aditi Singh Sharma , Himesh Reshammiya",Teraa Surroor - SongsMp3.com,Bollywood,bollywood_pop,bollywood,348.2
02 Dekhte Dekhte - Batti Gul Meter Chalu.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 Dekhte Dekhte - Batti Gul Meter Chalu.mp3,Dekhte Dekhte,Atif Aslam,Dekhte Dekhte - Pagalworld.org,Atif Aslam - Pagalworld.org,Batti Gul Meter Chalu - Pagalworld.org,Bollywood,bollywood_pop,bollywood,256.4
02 Dil Ke Paas (Wajah Tum Ho) Arijit Singh 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 Dil Ke Paas (Wajah Tum Ho) Arijit Singh 190Kbps.mp3,Dil Ke Paas,Arijit Singh,Dil Ke Paas - Pagalworld.com,"Arijit Singh , Tulsi Kumar - Pagalworld.com",Wajah Tum Ho (2016) - Pagalworld.co,Bollwood Music,bollywood_pop,bollywood,271.3
02 Maine Tujhko Dekha - Golmaal Again 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 Maine Tujhko Dekha - Golmaal Again 190Kbps.mp3,Maine Tujhko Dekha,Neeraj Shridhar,Maine Tujhko Dekha - PagalWorld.La,"Neeraj Shridhar, Sukriti Kakar - PagalWorld.La",Golmaal Again - PagalWorld.La,Bollywood,bollywood_pop,bollywood,207.4
02 Nasshhe Si Chdh Gyi (Arijit Singh) 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 Nasshhe Si Chdh Gyi (Arijit Singh) 190Kbps.mp3,Nashe Si Chadh Gayi,Arijit Singh,Nashe Si Chadh Gayi - PagalWorld.co,Arijit Singh - PagalWorld.co,Befikre - PagalWorld.co,Bollywood,bollywood_pop,bollywood,238.0
02 O Saathi - Baaghi 2 - Atif Aslam 320Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 O Saathi - Baaghi 2 - Atif Aslam 320Kbps.mp3,O Saathi,Atif Aslam,O Saathi - PagalWorld.co,Atif Aslam - PagalWorld.co,Baaghi 2 - PagalWorld.co,Bollywood,bollywood_pop,bollywood,251.9
02 Raabta - Title Song (Arijit Singh) 320Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 Raabta - Title Song (Arijit Singh) 320Kbps.mp3,Raabta (Title Track,Pritam,Raabta (Title Track) - PagalWorld.cool,"Pritam, Arijit Singh , Nikita Gandhi - PagalWorld.cool",Raabta - PagalWorld.cool,Bollywood,bollywood_pop,bollywood,297.2
02 Sha Sha Sha Mi Mi Mi.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 Sha Sha Sha Mi Mi Mi.mp3,Sha Sha Sha Mi Mi Mi [FreshMaza.Info,Caralisa Monteiro,Sha Sha Sha Mi Mi Mi [FreshMaza.Info],Caralisa Monteiro,Shamitabh [FreshMaza.Info],Bollywood,bollywood_pop,bollywood,320.6
02 yaadon ki baarat nikli hai - www.downloadming.com.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02 yaadon ki baarat nikli hai - www.downloadming.com.mp3,yaadon ki baarat nikli hai,www.downloadming.com,,www.downloadming.com,Yaadon Ki Baaraat (1973),www.downloadming.com,bollywood_pop,bollywood,230.2
02. Abhi Toh Party.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02. Abhi Toh Party.mp3,Abhi Toh Party,Badshah,Abhi Toh Party - DJMaza.Info,Badshah & Aastha,Khoobsurat - Singles,Bollywood Music,hindi_hiphop,bollywood,179.8
02_-_Sun_Saathiya-(MyMp3Singer.com).mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02_-_Sun_Saathiya-(MyMp3Singer.com).mp3,02_-_Sun_Saathiya-(MyMp3Singer.com,Divya Kumar,02_-_Sun_Saathiya-(MyMp3Singer.com),"Divya Kumar, Priya Saraiya",ABCD - Any Body Can Dance 2 - MyMp3Singer.com,Club,bollywood_pop,bollywood,217.9
02_20galti_20se_20mistake_20-_20jagga_20jasoos_20_28arijit_20singh_29_20190kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02_20galti_20se_20mistake_20-_20jagga_20jasoos_20_28arijit_20singh_29_20190kbps.mp3,Galti Se Mistake,Arijit Singh,Galti Se Mistake - PagalWorld.cool,"Arijit Singh, Amit Mishra - PagalWorld.cool",Jagga Jasoos - PagalWorld.cool,Bollywood,bollywood_pop,bollywood,203.1
02_20zaalima_20-_20raees_20_28arijit_20singh_29_20190kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/02_20zaalima_20-_20raees_20_28arijit_20singh_29_20190kbps.mp3,Zaalima,JAM8,Zaalima - PagalWorld.me,"JAM8, Arijit Singh , Harshdeep Kaur - PagalWorld.me",Raees - PagalWorld.me,Bollywood,bollywood_pop,bollywood,299.4
03 - 440 Volt - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/03 - 440 Volt - DownloadMing.SE.mp3,Volt,Mika Singh,440 Volt -  DownloadMing.io,Mika Singh,Sultan (2016),DownloadMing.io,bollywood_pop,bollywood,268.1
03 - Aankh Hai Bhari Bhari (Male)-(MyMp3Singer.net).mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/03 - Aankh Hai Bhari Bhari (Male)-(MyMp3Singer.net).mp3,Aankh Hai Bhari Bhari (Male)-(MyMp3Singer.com,Kumar Sanu,03 - Aankh Hai Bhari Bhari (Male)-(MyMp3Singer.com),Kumar Sanu,Tum Se Achcha Kaun Hai - MyMp3Singer.com,Club,bollywood_pop,bollywood,443.4
03 - Aashiq Surrender Hua - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/03 - Aashiq Surrender Hua - DownloadMing.SE.mp3,Aashiq Surrender Hua,Amaal Mallik,Aashiq Surrender Hua -  DownloadMing.SE,"Amaal Mallik,Shreya Ghoshal",Badrinath Ki Dulhania (2017),DownloadMing.SE,bollywood_pop,bollywood,250.3
03 - BM - Malhari [DJMaza.Info].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/03 - BM - Malhari [DJMaza.Info].mp3,Malhari,Vishal Dadlani,Malhari - DJMaza.Info,Vishal Dadlani,Bajirao Mastani (2015),Soundtrack,bollywood_pop,bollywood,244.0
03 - Dilwale - Janam Janam [DJMaza.Info].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/03 - Dilwale - Janam Janam [DJMaza.Info].mp3,Janam Janam,Arijit Singh,Janam Janam - DJMaza.Info,Arijit Singh & Antara Mitra,Dilwale (2015),Bollywood Music,bollywood_pop,bollywood,237.9
